C:\Users\nagak\AppData\Local\Temp\RenderDoc\sample_app_2026.04.18_05.06.10_frame237.rdc - Frame #237

 EID  | Event                                                             | Action # | Duration (Microseconds)
6171  |   - DrawIndexedInstanced(564693, 1)                               | 81     | 23.648
6181  |   - DrawIndexedInstanced(57909, 1)                                | 82     | 6.72
6191  |   - DrawIndexedInstanced(16668, 1)                                | 83     | 4.928
6201  |   - DrawIndexedInstanced(72, 1)                                   | 84     | 3.808
6211  |   - DrawIndexedInstanced(43128, 1)                                | 85     | 5.792
6221  |   - DrawIndexedInstanced(53010, 1)                                | 86     | 5.952
6231  |   - DrawIndexedInstanced(40704, 1)                                | 87     | 5.824
6241  |   - DrawIndexedInstanced(4248, 1)                                 | 88     | 4.896
6251  |   - DrawIndexedInstanced(37422, 1)                                | 89     | 6.304
6261  |   - DrawIndexedInstanced(1500, 1)                                 | 90     | 4.192
6271  |   - DrawIndexedInstanced(51240, 1)                                | 91     | 6.496
6281  |   - DrawIndexedInstanced(44391, 1)                                | 92     | 6.08
6291  |   - DrawIndexedInstanced(270, 1)                                  | 93     | 4.256
6301  |   - DrawIndexedInstanced(18048, 1)                                | 94     | 4.928
6311  |   - DrawIndexedInstanced(144507, 1)                               | 95     | 11.904
6321  |   - DrawIndexedInstanced(32634, 1)                                | 96     | 5.248
6331  |   - DrawIndexedInstanced(385992, 1)                               | 97     | 16.192
6341  |   - DrawIndexedInstanced(500028, 1)                               | 98     | 21.312
6351  |   - DrawIndexedInstanced(20628, 1)                                | 99     | 3.36
6361  |   - DrawIndexedInstanced(96, 1)                                   | 100    | 1.728
6371  |   - DrawIndexedInstanced(576, 1)                                  | 101    | 3.648
6381  |   - DrawIndexedInstanced(4494, 1)                                 | 102    | 4.64
6391  |   - DrawIndexedInstanced(3840, 1)                                 | 103    | 4.064
6401  |   - DrawIndexedInstanced(552, 1)                                  | 104    | 4.672
6411  |   - DrawIndexedInstanced(24, 1)                                   | 105    | 4.064
6421  |   - DrawIndexedInstanced(270, 1)                                  | 106    | 3.968
6431  |   - DrawIndexedInstanced(864, 1)                                  | 107    | 4.384
6441  |   - DrawIndexedInstanced(7380, 1)                                 | 108    | 2.208
6451  |   - DrawIndexedInstanced(960, 1)                                  | 109    | 4.032
6461  |   - DrawIndexedInstanced(1548, 1)                                 | 110    | 4.384
6471  |   - DrawIndexedInstanced(1980, 1)                                 | 111    | 5.024
6481  |   - DrawIndexedInstanced(126, 1)                                  | 112    | 3.456
6491  |   - DrawIndexedInstanced(23400, 1)                                | 113    | 3.328
6501  |   - DrawIndexedInstanced(4803, 1)                                 | 114    | 4.704
6511  |   - DrawIndexedInstanced(2298, 1)                                 | 115    | 2.24
6521  |   - DrawIndexedInstanced(196848, 1)                               | 116    | 8.64
6531  |   - DrawIndexedInstanced(72939, 1)                                | 117    | 7.296
6541  |   - DrawIndexedInstanced(54240, 1)                                | 118    | 6.336
6551  |   - DrawIndexedInstanced(16104, 1)                                | 119    | 4.864
6561  |   - DrawIndexedInstanced(75498, 1)                                | 120    | 5.696
